date,estimated-transaction-volume-usd
2024-11-27,12555140763.385523
2024-12-01,4169328992.6346917
2024-12-05,22269535612.85755
2024-12-09,16893586741.251682
2024-12-13,17652553064.867294
2024-12-17,16038288677.469349
2024-12-21,6882358327.448823
2024-12-25,5466163116.674572
2024-12-29,5228175703.420922
2025-01-02,6110103532.896917
2025-01-06,10720151138.280603
2025-01-10,8226023524.658946
2025-01-14,8476643246.566211
2025-01-18,5389522873.899006
2025-01-22,13577736341.160229
2025-01-26,2783482751.6197257
2025-01-30,7400448916.434272
2025-02-03,18010195932.401714
2025-02-07,8703519501.878572
2025-02-11,9477085951.576164
2025-02-15,2834188516.6755214
2025-02-19,7977877909.42433
